t,p1,p2,h
5761.46028,0.00253,-0.00037,0.33
5761.47028,-0.01372,-0.00034,0.32997
5761.48028,0.00232,-0.00043,0.33008
5761.49027,-0.01365,-0.00047,0.33005
5761.50027,0.00253,-0.00044,0.33008
5761.51027,-0.01388,-0.00036,0.33006
5761.52027,0.00194,-0.00021,0.33009
5761.53026,-0.01416,-0.00021,0.32996
5761.54026,0.00189,-0.00028,0.32998
5761.55026,-0.01418,-0.00013,0.33
5761.56026,0.00213,-9e-05,0.33004
5761.57025,-0.01383,-0.00015,0.32999
5761.58025,0.00228,-0.00022,0.33006
5761.59025,-0.01399,-0.00032,0.33002
5761.60025,0.00203,-0.00031,0.33005
5761.61024,-0.01417,-0.0001,0.33001
5761.62024,0.00178,6e-05,0.32997
5761.63024,-0.01428,7e-05,0.32985
5761.64024,0.00204,-7e-05,0.32988
5761.65023,-0.01402,-0.00034,0.32983
5761.66023,0.00215,-0.00052,0.32981
5761.67023,-0.01401,-0.00054,0.3298
5761.68022,0.00195,-0.00055,0.3299
5761.69022,-0.01419,-0.0005,0.32994
5761.70022,0.00203,-0.00028,0.32996
5761.71022,-0.014,-0.00027,0.3299
5761.72021,0.00233,-0.00044,0.32992
5761.73021,-0.01378,-0.00063,0.32993
5761.74021,0.00217,-0.00068,0.32999
5761.75021,-0.01383,-0.00082,0.32999
5761.7602,0.00276,-0.00089,0.33006
5761.7702,-0.01317,-0.00082,0.32996
5761.7802,0.00309,-0.00066,0.32983
5761.7902,-0.01281,-0.00051,0.32974
5761.80019,0.00319,-0.00041,0.32986
5761.81019,-0.01352,-0.00054,0.32993
5761.82019,0.0022,-0.00061,0.33003
5761.83019,-0.01403,-0.00033,0.32997
5761.84018,0.00213,-7e-05,0.32994
5761.85018,-0.01377,-0.00016,0.32986
5761.86018,0.00245,-0.00048,0.32986
5761.87018,-0.01388,-0.0008,0.32983
5761.88017,0.00188,-0.00081,0.3299
5761.89017,-0.01469,-0.00062,0.3299
5761.90017,0.00136,-0.0005,0.32989
5761.91017,-0.01461,-0.00052,0.32979
5761.92016,0.00153,-0.00056,0.32987
5761.93016,-0.01455,-0.00041,0.32993
5761.94016,0.00187,-0.00022,0.32997
5761.95015,-0.01383,-0.00011,0.32991
5761.96015,0.00256,-0.0002,0.32997
5761.97015,-0.01363,-0.00026,0.32991
5761.98015,0.00247,-0.00026,0.32991
5761.99014,-0.01359,-0.00044,0.32991
5762.00014,0.00253,-0.0007,0.32995
5762.01014,-0.01383,-0.00076,0.32991
5762.02014,0.00211,-0.00067,0.32993
5762.03013,-0.01409,-0.00067,0.32989
5762.04013,0.00196,-0.00072,0.32994
5762.05013,-0.01416,-0.00079,0.32989
5762.06013,0.00202,-0.00078,0.32991
5762.07012,-0.01405,-0.00051,0.32979
5762.08012,0.00212,-0.00032,0.32977
5762.09012,-0.01391,-0.00033,0.32977
5762.10012,0.00235,-0.00045,0.32991
5762.11011,-0.0138,-0.00053,0.32991
5762.12011,0.00218,-0.00049,0.3299
5762.13011,-0.01409,-0.00024,0.32982
5762.14011,0.00211,-0.00011,0.32985
5762.1501,-0.01394,-0.0001,0.32985
5762.1601,0.00214,-0.00021,0.32987
5762.1701,-0.0141,-0.00048,0.3298
5762.18009,0.00206,-0.00074,0.32983
5762.19009,-0.01398,-0.00081,0.32982
5762.20009,0.00229,-0.00084,0.32989
5762.21009,-0.01388,-0.0008,0.32986
5762.22008,0.00213,-0.00072,0.32991
5762.23008,-0.01387,-0.00064,0.32991
5762.24008,0.0024,-0.00048,0.32994
5762.25008,-0.01383,-0.00038,0.32988
5762.26007,0.00235,-0.00061,0.3299
5762.27007,-0.01354,-0.00106,0.32979
5762.28007,0.00255,-0.00122,0.32985
5762.29007,-0.01382,-0.00101,0.32987
5762.30006,0.00202,-0.0008,0.32995
5762.31006,-0.01424,-0.00088,0.32995
5762.32006,0.00195,-0.00098,0.32995
5762.33006,-0.01427,-0.00088,0.32981
5762.34005,0.00183,-0.00069,0.32985
5762.35005,-0.01416,-0.00061,0.32994
5762.36005,0.00196,-0.0007,0.33
5762.37005,-0.0145,-0.00079,0.3299
5762.38004,0.00161,-0.00084,0.32986
5762.39004,-0.01461,-0.00086,0.32975
5762.40004,0.00156,-0.00089,0.32977
5762.41003,-0.01445,-0.00097,0.32977
5762.42003,0.00176,-0.00096,0.3299
5762.43003,-0.01441,-0.00078,0.32991
5762.44003,0.0019,-0.00072,0.32989
5762.45002,-0.01392,-0.00066,0.32981
5762.46002,0.00232,-0.00064,0.32987
